lon,lat
-121.916812584375,37.392836755000005
-121.916812584375,37.397671316875005
-121.9103670175,37.397671316875005
-121.92325815125,37.402505878750006
-121.916812584375,37.402505878750006
-121.9103670175,37.402505878750006
-121.903921450625,37.402505878750006
-121.89747588375,37.402505878750006
-121.891030316875,37.402505878750006
-121.92325815125,37.407340440625006
-121.916812584375,37.407340440625006
-121.9103670175,37.407340440625006
-121.903921450625,37.407340440625006
-121.89747588375,37.407340440625006
-121.891030316875,37.407340440625006
-121.88458475,37.407340440625006
-121.929703718125,37.41217500250001
-121.92325815125,37.41217500250001
-121.916812584375,37.41217500250001
-121.9103670175,37.41217500250001
-121.903921450625,37.41217500250001
-121.89747588375,37.41217500250001
-121.891030316875,37.41217500250001
-121.88458475,37.41217500250001
-121.878139183125,37.41217500250001
-121.929703718125,37.417009564375
-121.92325815125,37.417009564375
-121.916812584375,37.417009564375
-121.9103670175,37.417009564375
-121.903921450625,37.417009564375
-121.89747588375,37.417009564375
-121.891030316875,37.417009564375
-121.88458475,37.417009564375
-121.878139183125,37.417009564375
-121.87169361625,37.417009564375
-121.865248049375,37.417009564375
-121.929703718125,37.42184412625
-121.92325815125,37.42184412625
-121.916812584375,37.42184412625
-121.9103670175,37.42184412625
-121.903921450625,37.42184412625
-121.89747588375,37.42184412625
-121.891030316875,37.42184412625
-121.88458475,37.42184412625
-121.878139183125,37.42184412625
-121.87169361625,37.42184412625
-121.865248049375,37.42184412625
-121.85880248250001,37.42184412625
-121.85235691562501,37.42184412625
-121.84591134875001,37.42184412625
-121.839465781875,37.42184412625
-121.929703718125,37.426678688125
-121.92325815125,37.426678688125
-121.916812584375,37.426678688125
-121.9103670175,37.426678688125
-121.903921450625,37.426678688125
-121.89747588375,37.426678688125
-121.891030316875,37.426678688125
-121.88458475,37.426678688125
-121.878139183125,37.426678688125
-121.87169361625,37.426678688125
-121.865248049375,37.426678688125
-121.85880248250001,37.426678688125
-121.85235691562501,37.426678688125
-121.84591134875001,37.426678688125
-121.839465781875,37.426678688125
-121.929703718125,37.43151325
-121.92325815125,37.43151325
-121.916812584375,37.43151325
-121.9103670175,37.43151325
-121.903921450625,37.43151325
-121.89747588375,37.43151325
-121.891030316875,37.43151325
-121.88458475,37.43151325
-121.878139183125,37.43151325
-121.87169361625,37.43151325
-121.865248049375,37.43151325
-121.85880248250001,37.43151325
-121.85235691562501,37.43151325
-121.84591134875001,37.43151325
-121.839465781875,37.43151325
-121.929703718125,37.436347811875
-121.92325815125,37.436347811875
-121.916812584375,37.436347811875
-121.9103670175,37.436347811875
-121.903921450625,37.436347811875
-121.89747588375,37.436347811875
-121.891030316875,37.436347811875
-121.88458475,37.436347811875
-121.878139183125,37.436347811875
-121.87169361625,37.436347811875
-121.865248049375,37.436347811875
-121.85880248250001,37.436347811875
-121.85235691562501,37.436347811875
-121.84591134875001,37.436347811875
-121.839465781875,37.436347811875
-121.929703718125,37.44118237375
-121.92325815125,37.44118237375
-121.916812584375,37.44118237375
-121.9103670175,37.44118237375
-121.903921450625,37.44118237375
-121.89747588375,37.44118237375
-121.891030316875,37.44118237375
-121.88458475,37.44118237375
-121.878139183125,37.44118237375
-121.87169361625,37.44118237375
-121.865248049375,37.44118237375
-121.85880248250001,37.44118237375
-121.85235691562501,37.44118237375
-121.84591134875001,37.44118237375
-121.839465781875,37.44118237375
-121.92325815125,37.446016935625
-121.916812584375,37.446016935625
-121.9103670175,37.446016935625
-121.903921450625,37.446016935625
-121.89747588375,37.446016935625
-121.891030316875,37.446016935625
-121.88458475,37.446016935625
-121.878139183125,37.446016935625
-121.87169361625,37.446016935625
-121.865248049375,37.446016935625
-121.85880248250001,37.446016935625
-121.85235691562501,37.446016935625
-121.84591134875001,37.446016935625
-121.839465781875,37.446016935625
-121.929703718125,37.4508514975
-121.92325815125,37.4508514975
-121.916812584375,37.4508514975
-121.9103670175,37.4508514975
-121.903921450625,37.4508514975
-121.89747588375,37.4508514975
-121.891030316875,37.4508514975
-121.88458475,37.4508514975
-121.878139183125,37.4508514975
-121.87169361625,37.4508514975
-121.865248049375,37.4508514975
-121.85880248250001,37.4508514975
-121.85235691562501,37.4508514975
-121.84591134875001,37.4508514975
-121.929703718125,37.455686059375
-121.92325815125,37.455686059375
-121.916812584375,37.455686059375
-121.9103670175,37.455686059375
-121.903921450625,37.455686059375
-121.89747588375,37.455686059375
-121.891030316875,37.455686059375
-121.88458475,37.455686059375
-121.878139183125,37.455686059375
-121.87169361625,37.455686059375
-121.865248049375,37.455686059375
-121.85880248250001,37.455686059375
-121.85235691562501,37.455686059375
-121.916812584375,37.46052062125
-121.9103670175,37.46052062125
-121.903921450625,37.46052062125
-121.89747588375,37.46052062125
-121.891030316875,37.46052062125
-121.88458475,37.46052062125
-121.878139183125,37.46052062125
-121.87169361625,37.46052062125
-121.865248049375,37.46052062125
-121.85880248250001,37.46052062125
-121.9103670175,37.465355183125
-121.903921450625,37.465355183125
-121.89747588375,37.465355183125
-121.88458475,37.465355183125
-121.878139183125,37.465355183125
-121.89747588375,37.470189745
